Module Name,Code,Year,Semester,Hours,Description
Métier et formation,ATAM-01,1,1,30,Se situer au regard du métier et  de la démarche de formation
Outils informatiques,ATAM-02,1,1,60,Exploiter des outils informatiques
Communication en français,ATAM-03,1,1,120,Communiquer en français dans un contexte d’accueil et de service aux passagers
Environnement professionnel,ATAM-04,1,1,180,Caractériser l’environnement professionnel
Comportements et atti tudes professionnels,ATAM-05,1,1,60,Adopter les comportements et attitudes professionnels
Communication en anglais,ATAM-06,1,1,150,Communiquer en anglais dans un contexte d’accueil et de service aux passagers
Approche client,ATAM-07,1,2,60,Développer l’approche client
Interaction en situat ions professionnelles,ATAM-08,1,2,75,Interagir dans des situations professionnelles variées
Mesures de sûreté,ATAM-09,1,2,45,Mettre en œuvre les mesures de sûreté
Marchandises dangereuses,ATAM-10,1,2,45,Prévenir les dangers reliés aux marchandises dangereuses
Procédures de pré- départ,ATAM-11,1,2,60,Appliquer les procédures de pré-départ
Embarquement et départ,ATAM-12,1,2,60,Effectuer les opérations reliées à l’embarquement et au départ
Activités d’accueil en milieu de travail (stage 1),ATAM-13,1,2,120,Effectuer des activités d’accueil en milieu de travail
Premiers secours,ATAM-14,2,1,165,Assurer les interventions de premiers secours
Communication en espagnol,ATAM-15,2,1,90,Communiquer en espagnol dans  un contexte d’accueil et de service aux passagers
Service durant la croisière,ATAM-16,2,1,120,Optimiser le service durant la croisière
Vente de produits à bord,ATAM-17,2,1,60,Gérer la vente des produits à bord
Procédures d’urgence aériennes,ATAM-18,2,1,90,Appliquer les procédures  d’urgence aériennes
Procédures d’urgence maritimes,ATAM-19,2,2,90,Appliquer les procédures  d’urgence maritimes
Arrivée et débarquement,ATAM-20,2,2,90,Effectuer les opérations reliées à l’arrivée et au débarquement
Recherche d’emploi,ATAM-21,2,2,30,Appliquer une démarche de recherche d’emploi
Intégration au milieu de travail (stage 2),ATAM-22,2,2,270,S’intégrer en milieu de travail
